# int	pos
20157	127500
20125	127505
20124	127498
20116	127498
20127	127501
20174	127501
20171	127501
20174	127501
20203	127502
20160	127500
20187	127498
20212	127501
20141	127502
20177	127501
20239	127499
20184	127497
20195	127500
20256	127501
20227	127504
20261	127500
20296	127496
20251	127499
20341	127501
20285	127496
20260	127497
20312	127496
20327	127495
20314	127499
20283	127500
20244	127497
20255	127498
20305	127500
20293	127499
20200	127499
20223	127499
20245	127499
20132	127503
20132	127500
20168	127499
20192	127501
20295	127500
20336	127497
20244	127502
20244	127500
20201	127501
20145	127501
20248	127498
20313	127500
20308	127499
20331	127500
20404	127501
20341	127498
20362	127502
20411	127502
20244	127502
20218	127496
20222	127499
20176	127500
20168	127501
20202	127501
20214	127505
20239	127500
20230	127502
20176	127502
20205	127499
20275	127500
20256	127498
20312	127501
20289	127500
20238	127499
20259	127502
20279	127506
20261	127500
20303	127502
20252	127497
20244	127500
20264	127500
20336	127500
20378	127501
20492	127501
20358	127500
20248	127501
20307	127502
20263	127500
20192	127498
20213	127500
20237	127498
20196	127500
20257	127501
20271	127500
20249	127502
20326	127501
20308	127498
20187	127497
20252	127497
20249	127501
20280	127493
20311	127503
20329	127495
20310	127502
20363	127498
20344	127496
20257	127501
20297	127502
20230	127502
20144	127503
20245	127499
20194	127500
20199	127501
20306	127501
20321	127499
20260	127497
20293	127496
20299	127499
20235	127504
20331	127493
20327	127502
20168	127499
20218	127499
20250	127501
20195	127502
20321	127501
20353	127499
20365	127497
20457	127499
20418	127497
20340	127500
20356	127495
20399	127496
20333	127500
20332	127500
20370	127498
20301	127501
20427	127500
20267	127499
20206	127498
20307	127497
20322	127504
20233	127500
20244	127503
20246	127497
20192	127501
20280	127498
20238	127501
20142	127499
20249	127498
20361	127499
20354	127505
20430	127502
20479	127499
20428	127499
20371	127499
20325	127506
20195	127499
20124	127501
20193	127499
20189	127499
20292	127497
20305	127496
20252	127502
20344	127499
20300	127500
20195	127504
20241	127503
20193	127500
20185	127504
20234	127503
20222	127500
20138	127501
20261	127499
20211	127498
20148	127496
20211	127502
20187	127498
20181	127500
20210	127498
20287	127499
20263	127499
20295	127500
20274	127499
20154	127495
20230	127496
20222	127495
20182	127499
20227	127500
20235	127499
20202	127495
20318	127498
20235	127499
20210	127502
20294	127499
20417	127495
20295	127502
20281	127497
20185	127497
20206	127498
20345	127498
20259	127498
20193	127499
20290	127503
20253	127501
20203	127495
20126	127503
20167	127503
20122	127499
20202	127497
20238	127499
20227	127500
20203	127500
20156	127501
20144	127499
20186	127501
20194	127499
20174	127496
20307	127499
20265	127500
20200	127494
20189	127500
20179	127503
20156	127499
20177	127503
20120	127499
20153	127500
20234	127503
20246	127501
20212	127498
20293	127503
20259	127498
20255	127501
20205	127498
20222	127498
20133	127501
20124	127497
20282	127498
20341	127502
20352	127499
20303	127499
20256	127500
20228	127497
20232	127493
20188	127501
20187	127500
20181	127502
20156	127500
20206	127502
20213	127500
20202	127499
20267	127499
20264	127501
20345	127498
20340	127502
20344	127497
20358	127501
20304	127500
20266	127502
20183	127496
20219	127496
20224	127499
20152	127497
20249	127500
20304	127505
20323	127504
20287	127498
20296	127501
20297	127499
20331	127503
20388	127500
20346	127497
20301	127502
20339	127497
20280	127498
20334	127496
20289	127503
20336	127498
20336	127500
20316	127501
20339	127501
20321	127499
20340	127503
20364	127496
20254	127498
20284	127502
20301	127502
20282	127502
20363	127502
20340	127500
20262	127503
20285	127501
20401	127498
20370	127500
20350	127503
20366	127501
20304	127501
20287	127496
20303	127502
20259	127502
20293	127504
20274	127498
20204	127496
20278	127504
20347	127502
20372	127501
20348	127503
20302	127501
20272	127501
20257	127500
20269	127495
20228	127498
20287	127497
20357	127499
20309	127500
20360	127498
20366	127497
20235	127502
20272	127494
20273	127499
20303	127503
20303	127496
20249	127501
20198	127501
20188	127504
20252	127497
20309	127502
20303	127505
20281	127500
20207	127500
20331	127502
20381	127497
20299	127501
20306	127499
20307	127500
20239	127501
20277	127497
20235	127504
20201	127499
20259	127507
20293	127501
20238	127501
20242	127502
20211	127499
20127	127501
20143	127501
20172	127499
20228	127500
20425	127497
20408	127498
20344	127498
20385	127501
20285	127496
20212	127498
20278	127501
20245	127499
20216	127500
20255	127499
20249	127499
20146	127500
20237	127501
20293	127505
20284	127502
20345	127495
20262	127497
20207	127497
20227	127503
20196	127500
20136	127498
20249	127501
20174	127498
20190	127498
20335	127501
20247	127501
20230	127498
20281	127498
20317	127499
20218	127497
20294	127500
20290	127501
20234	127502
20331	127499
20262	127501
20142	127501
20245	127501
20202	127502
20125	127504
20242	127501
20305	127504
20215	127499
20223	127501
20245	127501
20187	127496
20356	127500
20343	127501
20212	127497
20151	127497
20129	127503
20082	127498
