# int	pos
20237	127515
20256	127517
20176	127516
20210	127517
20214	127517
20160	127516
20282	127518
20217	127519
20101	127523
20187	127515
20216	127520
20147	127518
20181	127519
20257	127516
20130	127517
20244	127517
20151	127519
20072	127518
20160	127516
20090	127519
20051	127520
20156	127516
20084	127520
20065	127521
20090	127517
20082	127520
20062	127518
20128	127519
20162	127522
20170	127514
20197	127518
20161	127519
19973	127512
20041	127515
20008	127518
20050	127518
20131	127517
20194	127519
20147	127520
20221	127521
20137	127519
20034	127520
20068	127514
20078	127519
20062	127515
20187	127515
20149	127517
19991	127515
20025	127513
20009	127518
19981	127518
20112	127517
20151	127520
20111	127519
20145	127521
20142	127517
20152	127517
20186	127514
20156	127520
20155	127515
20173	127514
20163	127516
20119	127515
20153	127515
20140	127519
20105	127516
20187	127519
20215	127513
20141	127520
20203	127519
20188	127519
20127	127519
20181	127514
20182	127517
20150	127516
20147	127515
20146	127516
20039	127519
20177	127519
20162	127518
20124	127516
20175	127516
20117	127518
20066	127518
20218	127521
20189	127519
20126	127519
20229	127516
20228	127523
20138	127515
20283	127523
20285	127519
20212	127518
20227	127514
20212	127515
20245	127517
20321	127515
20249	127521
20214	127514
20243	127515
20238	127516
20165	127518
20152	127515
20177	127517
20205	127517
20222	127515
20156	127516
20154	127518
20238	127517
20206	127515
20185	127519
20234	127515
20219	127516
20227	127515
20371	127519
20394	127516
20302	127519
20318	127519
20361	127517
20323	127516
20301	127513
20217	127520
20217	127517
20312	127514
20273	127516
20196	127515
20245	127515
20227	127518
20267	127514
20285	127519
20280	127518
20216	127517
20253	127514
20300	127522
20236	127516
20172	127515
20196	127518
20177	127519
20168	127524
20160	127517
20152	127515
20136	127511
20191	127519
20211	127519
20196	127520
20161	127519
20150	127515
20176	127515
20147	127519
20185	127521
20242	127519
20238	127519
20158	127518
20169	127516
20160	127516
20128	127517
20214	127519
20172	127517
20139	127520
20182	127514
20231	127518
20179	127517
20129	127517
20119	127513
20080	127513
20030	127518
19965	127520
19982	127518
20033	127519
20088	127521
20155	127519
20184	127519
20176	127519
20150	127520
20190	127516
20176	127519
20185	127519
20169	127519
20172	127518
20187	127518
20145	127521
20105	127520
20081	127518
20122	127521
20244	127518
20274	127513
20196	127518
20248	127514
20205	127522
20247	127519
20308	127519
20339	127517
20281	127515
20314	127518
20331	127521
20255	127522
20244	127519
20224	127519
20208	127519
20218	127519
20178	127517
20046	127516
20068	127516
20110	127519
20108	127517
20206	127518
20159	127514
20067	127517
20131	127516
20216	127519
20137	127518
20127	127518
20076	127517
20126	127519
20191	127518
20192	127521
20157	127517
20212	127518
20155	127517
20158	127514
20195	127515
20136	127512
20118	127519
20180	127513
20184	127521
20114	127519
20157	127518
20120	127518
20083	127519
20220	127518
20215	127517
20245	127516
20273	127519
20271	127513
20226	127518
20283	127518
20257	127517
20254	127518
20209	127517
20204	127515
20110	127516
20170	127522
20189	127519
20119	127520
20231	127514
20239	127518
20188	127520
20320	127520
20272	127519
20197	127520
20188	127518
20205	127518
20208	127520
20244	127520
20214	127521
20104	127519
20224	127514
20258	127516
20216	127519
20250	127514
20235	127517
