# int	pos
20203	127480
20305	127480
20271	127477
20249	127477
20264	127483
20240	127481
20223	127475
20273	127480
20237	127482
20194	127476
20241	127476
20256	127477
20127	127479
20209	127482
20216	127484
20107	127482
20135	127483
20228	127481
20188	127479
20243	127480
20273	127479
20204	127479
20241	127477
20126	127482
20086	127482
20145	127477
20229	127476
20127	127482
20225	127475
20218	127479
20184	127482
20232	127484
20236	127478
20170	127483
20252	127478
20262	127480
20206	127480
20238	127477
20238	127479
20192	127479
20296	127480
20258	127482
20170	127482
20157	127480
20131	127480
20095	127480
20268	127481
20220	127480
20211	127480
20277	127478
20248	127479
20155	127480
20211	127482
20229	127478
20183	127481
20262	127480
20195	127482
20161	127485
20245	127484
20260	127478
20223	127480
20305	127478
20240	127480
20172	127481
20212	127480
20255	127479
20265	127483
20282	127480
20276	127481
20247	127477
20273	127481
20313	127481
20184	127477
20324	127478
20275	127480
20165	127480
20243	127479
20258	127479
20248	127480
20274	127477
20241	127478
20223	127482
20309	127479
20325	127480
20270	127479
20393	127478
20361	127482
20317	127480
20353	127479
20277	127480
20253	127478
20345	127479
20365	127479
20267	127481
20315	127482
20309	127479
20245	127482
20258	127481
20358	127477
20297	127481
20324	127480
20308	127478
20236	127479
20293	127476
20308	127481
20215	127478
20273	127482
20335	127479
20323	127482
20346	127480
20239	127478
20218	127478
20265	127481
20265	127483
20215	127481
20228	127480
20262	127478
20239	127481
20241	127479
20332	127482
20264	127480
20345	127481
20314	127484
20312	127476
20348	127480
20265	127479
20156	127481
20219	127481
20238	127480
20165	127480
20298	127475
20260	127482
20159	127482
20329	127480
20322	127481
20250	127479
20311	127481
20251	127479
20181	127481
20245	127476
20236	127477
20189	127482
20229	127479
20300	127483
20242	127479
20354	127483
20254	127480
20184	127479
20195	127481
20174	127480
20169	127479
20189	127477
20163	127475
20119	127478
20186	127478
20163	127479
20147	127478
20156	127478
20204	127479
20180	127479
20252	127483
20179	127481
20105	127481
20209	127481
20211	127474
20208	127478
20216	127480
20260	127479
20248	127479
20246	127480
20229	127478
20228	127481
20222	127480
20264	127480
20216	127483
20238	127483
20229	127477
20179	127482
20227	127481
20216	127484
20184	127484
20171	127482
20158	127480
20208	127479
20313	127481
20259	127483
20336	127483
20344	127481
20264	127480
20184	127481
20188	127482
20218	127482
20255	127479
20279	127479
20225	127476
20171	127480
20193	127482
20140	127480
20188	127478
20212	127479
20244	127478
20245	127477
20260	127480
20201	127482
20215	127479
20230	127479
20251	127476
20234	127480
20174	127482
20160	127477
20287	127482
20265	127484
20223	127485
20185	127483
20231	127484
20273	127481
20211	127482
20219	127480
20219	127478
20266	127479
20257	127479
20213	127483
20261	127484
20220	127480
20233	127480
20268	127481
20270	127479
20248	127481
20253	127484
20205	127483
20272	127481
20258	127484
20144	127480
20211	127482
20233	127476
20169	127480
