# int	pos
20178	127472
20169	127470
20076	127469
20168	127475
20145	127475
20110	127472
20122	127473
20136	127470
20103	127469
20084	127471
20070	127471
20075	127469
20122	127469
20127	127471
20195	127472
20250	127471
20172	127472
20163	127470
20218	127475
20209	127470
20160	127468
20142	127474
20119	127470
20105	127470
20115	127469
20035	127471
20050	127474
20148	127475
20117	127468
20018	127467
20101	127468
20154	127472
20154	127471
20255	127473
20189	127469
20169	127474
20172	127473
20161	127465
20147	127472
20241	127467
20222	127476
20230	127473
20263	127474
20243	127470
20244	127471
20176	127472
20172	127474
20102	127469
20195	127470
20169	127467
20144	127471
20211	127474
20206	127473
20185	127471
20167	127467
20203	127474
20165	127473
20176	127471
20158	127472
20187	127469
20200	127472
20186	127471
20262	127470
20256	127470
20197	127472
20158	127469
20132	127471
20204	127470
20152	127472
20107	127471
20143	127473
20228	127469
20292	127468
20181	127472
20193	127471
20200	127473
20186	127473
20152	127472
20135	127472
20116	127472
20163	127470
20168	127475
20172	127472
20156	127472
20184	127472
20199	127471
20167	127472
20159	127468
20168	127474
20184	127472
20147	127474
20162	127470
20208	127469
20207	127476
20199	127470
20191	127471
20199	127468
20219	127470
20198	127467
20163	127471
20193	127475
20182	127473
20151	127475
20217	127473
20213	127468
20158	127469
20139	127469
20173	127473
20105	127474
20149	127471
20111	127471
20154	127475
20151	127472
20099	127473
20157	127472
20165	127472
20157	127470
20130	127480
20140	127471
20204	127468
20180	127469
20218	127469
20294	127473
20241	127469
20212	127469
20211	127468
20206	127474
20235	127473
20196	127469
20097	127472
20136	127472
20137	127470
19989	127472
20132	127465
20195	127468
20143	127467
20181	127474
20170	127473
20154	127471
20154	127469
20180	127471
20165	127473
20109	127473
20136	127471
20151	127475
20224	127472
20250	127471
20170	127475
20227	127471
20275	127470
20204	127473
20250	127472
20222	127472
20212	127475
20237	127474
20286	127471
20236	127472
20235	127470
20194	127471
20157	127469
20206	127472
20238	127466
20220	127473
20299	127473
20287	127471
20289	127471
20323	127474
20263	127474
20172	127473
20151	127476
20127	127473
20154	127472
20181	127474
20242	127468
20168	127471
20255	127474
20134	127473
20107	127473
20222	127473
20237	127469
20266	127472
20260	127468
20214	127474
20112	127471
20243	127475
20243	127475
20146	127476
20235	127471
20299	127473
20187	127469
20239	127471
20246	127471
20240	127472
20257	127476
20238	127474
20173	127474
20188	127469
20214	127470
20217	127474
20254	127475
20254	127476
20205	127471
20213	127478
20222	127467
20297	127468
20392	127470
20260	127468
20193	127470
20271	127470
20280	127475
20264	127471
20306	127473
20213	127472
20197	127469
20251	127472
20331	127470
20230	127469
20193	127472
20174	127470
20098	127473
20072	127473
20069	127475
20074	127472
20193	127475
20117	127474
20065	127469
20177	127475
20162	127472
20128	127472
20157	127468
20164	127471
20162	127472
20160	127469
20101	127475
20086	127471
20209	127473
20106	127470
20127	127472
20201	127471
20207	127471
20165	127468
20157	127474
20124	127472
20063	127475
20233	127474
20254	127470
20196	127472
20284	127471
20250	127472
20192	127470
20257	127474
20282	127472
20287	127473
20326	127469
20303	127473
20166	127475
20188	127472
20166	127472
20166	127468
20238	127473
20221	127473
20115	127468
20245	127475
20251	127473
20176	127471
20271	127470
20283	127471
20251	127474
20287	127465
20275	127473
20209	127473
20287	127472
20187	127465
20080	127465
20154	127470
20216	127475
20224	127471
20236	127472
20184	127472
20161	127470
20203	127470
20246	127474
20296	127473
20354	127471
20345	127475
20256	127471
20256	127472
20259	127473
20279	127469
20275	127475
20208	127474
20206	127468
20232	127472
20230	127474
20209	127468
20292	127473
20261	127473
20224	127472
20282	127467
20227	127476
20256	127471
20293	127473
20227	127470
20202	127471
20188	127474
20115	127475
20098	127473
20066	127475
20139	127472
20120	127475
20166	127468
20249	127475
20275	127470
20236	127473
20207	127470
20203	127468
20272	127469
20240	127472
20169	127473
20240	127473
20241	127471
20199	127466
20108	127469
20076	127467
20136	127469
20217	127471
20236	127468
20166	127472
20203	127469
20269	127475
20181	127470
20197	127469
20234	127473
20235	127473
20227	127470
20263	127476
20224	127470
20215	127472
20177	127479
20175	127471
20211	127473
20268	127471
20165	127468
20216	127469
20293	127472
20232	127473
20240	127474
20265	127474
20249	127472
20190	127475
20239	127470
20195	127469
20117	127471
20143	127476
20143	127472
20181	127467
20265	127470
20291	127470
20289	127474
20311	127473
20317	127470
20277	127473
20306	127476
20303	127476
20251	127470
20169	127474
20167	127467
20153	127470
20154	127474
20171	127471
20250	127471
20265	127473
20158	127472
20184	127471
20248	127473
20151	127472
20173	127472
20254	127475
20183	127469
20157	127469
20146	127474
20094	127472
20085	127472
20069	127469
20132	127471
20069	127473
20189	127469
20231	127471
20250	127470
20274	127468
20243	127471
20095	127471
20139	127472
20172	127477
20140	127474
20188	127470
20232	127474
20143	127469
20204	127472
20175	127469
20203	127470
20240	127475
20247	127470
20148	127471
20190	127474
20178	127472
20204	127468
20258	127473
20244	127475
20114	127474
20255	127472
20321	127468
20189	127470
20286	127469
20326	127472
20196	127472
20246	127472
20290	127474
20268	127470
20305	127475
20331	127471
20337	127468
20290	127471
20354	127473
20272	127471
20279	127472
20258	127471
20161	127472
20177	127474
20064	127468
20042	127473
20095	127471
20167	127472
20148	127474
20268	127473
20271	127471
20212	127477
20246	127470
20272	127474
20197	127476
20269	127473
20280	127474
20192	127473
20287	127473
20278	127473
20217	127474
20248	127469
20337	127470
20279	127471
20268	127469
20284	127471
20225	127474
20296	127472
20302	127474
20211	127472
20243	127471
20235	127474
20195	127470
20260	127470
20269	127473
20182	127472
20215	127474
20270	127473
20113	127471
20219	127473
20229	127475
20179	127473
20219	127474
20244	127474
20220	127466
20292	127468
20343	127473
20254	127472
20282	127472
20189	127472
20158	127469
20235	127469
20238	127470
20239	127473
20328	127476
20279	127475
20214	127474
20230	127475
20212	127471
20197	127468
20272	127472
20262	127473
20170	127472
20285	127471
20280	127474
20232	127471
20332	127476
20286	127470
20265	127476
20367	127477
20280	127476
20210	127474
20312	127471
20271	127472
20176	127473
20281	127474
20318	127474
20313	127471
20335	127472
20271	127472
20220	127469
20305	127470
20301	127474
20231	127474
20304	127473
20356	127469
20302	127473
20290	127474
20257	127471
20230	127469
20280	127470
20272	127475
20264	127472
20301	127471
20283	127477
20260	127474
20327	127477
20301	127472
20222	127470
20246	127473
20267	127471
20210	127472
20225	127470
20283	127474
20203	127471
20282	127474
20251	127472
20242	127473
20223	127475
20151	127473
20134	127473
20161	127475
20255	127473
20297	127471
20250	127473
20211	127470
20161	127474
20174	127474
20178	127476
20194	127475
20262	127470
20253	127474
20264	127470
20375	127472
20375	127475
20317	127475
20331	127471
20257	127472
20223	127476
20294	127470
20258	127470
20213	127477
20249	127472
20245	127472
20250	127473
20213	127479
20167	127473
20150	127471
20223	127470
20220	127475
20145	127476
20197	127470
20196	127478
20188	127474
20222	127477
20259	127475
20209	127471
20257	127473
20237	127474
20186	127471
20164	127470
20137	127474
20200	127474
20216	127473
20255	127469
20213	127472
20269	127472
20305	127471
20312	127470
20281	127477
20214	127477
20253	127474
20260	127472
20341	127475
20345	127477
20352	127474
20309	127475
20298	127476
20262	127477
20282	127477
20239	127472
20248	127474
20296	127475
20244	127476
20235	127473
20180	127473
20206	127474
20225	127473
20228	127471
20244	127475
20239	127471
20231	127470
20200	127473
20159	127472
20174	127472
20203	127474
20311	127468
20315	127473
20303	127472
20197	127474
20162	127474
20208	127472
20191	127470
20184	127474
20188	127470
20195	127475
20194	127470
20182	127476
20133	127472
20113	127472
20151	127473
20209	127476
20228	127474
20275	127475
20255	127470
20270	127475
20245	127479
20199	127478
20209	127471
20215	127476
20220	127475
20274	127477
20362	127476
20358	127478
20299	127473
20253	127474
20139	127475
20175	127477
20229	127474
20226	127471
20135	127470
20118	127475
20151	127472
20165	127470
20196	127474
20152	127474
20203	127476
20290	127475
20250	127474
20307	127478
20268	127475
20266	127471
20277	127472
20268	127471
20179	127472
20243	127474
20234	127477
20168	127476
20182	127474
20224	127476
20176	127472
20173	127473
20225	127473
20266	127472
20323	127477
20331	127476
20197	127471
20216	127472
20213	127471
20211	127473
20253	127474
20271	127474
20160	127469
20166	127473
20222	127468
20075	127471
20209	127474
20248	127473
20199	127476
20230	127473
20171	127474
20175	127474
20229	127476
20262	127476
20215	127473
20339	127475
20316	127473
20203	127474
20262	127473
20278	127472
20213	127471
20259	127475
20237	127475
20154	127476
20184	127476
20200	127470
20215	127474
20258	127472
20330	127474
20248	127470
20284	127476
20226	127476
20110	127472
20254	127472
20201	127473
20092	127475
20171	127476
20147	127476
20160	127476
20223	127474
20268	127475
20257	127473
20296	127473
20302	127472
20169	127471
20165	127469
20135	127470
20148	127476
20293	127475
20230	127472
20207	127471
20289	127469
