# int	pos
20358	127487
20284	127486
20237	127488
20376	127480
20400	127485
20403	127488
20389	127484
20319	127487
20341	127482
20343	127484
20283	127484
20284	127484
20236	127483
20236	127483
20275	127485
20347	127486
20356	127484
20314	127484
20244	127487
20229	127486
20245	127485
20231	127484
20215	127487
20255	127485
20289	127483
20295	127487
20360	127485
20389	127485
20346	127486
20359	127486
20277	127483
20213	127487
20211	127486
20301	127485
20370	127485
20358	127485
20356	127486
20399	127483
20314	127482
20337	127484
20337	127488
20236	127487
20215	127486
20260	127489
20259	127484
20195	127484
20204	127484
20312	127486
20312	127488
20292	127486
20254	127482
20233	127487
20255	127484
20222	127484
20286	127486
20364	127481
20344	127481
20374	127485
20373	127489
20377	127483
20430	127485
20459	127486
20447	127490
20376	127486
20365	127486
20355	127482
20313	127487
20320	127483
20319	127487
20275	127484
20314	127487
20309	127485
20267	127486
20279	127484
20333	127487
20291	127483
20242	127486
20305	127483
20403	127486
20383	127489
20372	127488
20345	127482
20325	127486
20330	127477
20349	127485
20423	127488
20389	127486
20325	127485
20329	127489
20319	127488
20331	127487
20374	127487
20427	127482
20413	127482
20413	127487
20462	127487
20429	127484
20495	127485
20459	127489
20351	127485
20402	127489
20288	127485
20210	127484
20246	127483
20287	127482
20137	127488
20231	127485
20204	127483
20266	127485
20315	127489
20278	127485
20289	127484
20367	127491
20318	127485
20261	127486
20346	127490
20334	127484
20332	127486
20336	127482
20374	127483
20281	127484
20314	127484
20356	127485
20283	127488
20336	127483
20341	127484
20267	127485
20242	127489
20271	127485
20216	127486
20320	127486
20336	127486
20224	127487
20280	127487
20319	127486
20296	127484
20411	127491
20396	127492
20336	127489
20381	127485
20430	127487
20274	127486
20351	127484
20358	127481
20285	127488
20336	127486
20277	127485
20192	127491
20236	127483
20242	127485
20180	127488
20256	127486
20264	127487
20255	127488
20285	127483
20321	127484
20305	127487
20399	127486
20382	127487
20277	127485
20308	127484
20333	127483
20233	127483
20313	127481
20303	127484
20234	127484
20364	127487
20359	127487
20264	127488
20411	127486
20371	127486
20317	127488
20413	127486
20377	127488
20246	127492
20308	127488
20326	127485
20237	127484
20307	127491
20367	127488
20269	127486
20273	127481
20211	127482
20225	127484
20316	127488
20333	127485
20220	127483
20319	127485
20308	127486
20231	127490
20252	127487
20180	127481
20157	127485
20257	127484
20280	127483
20239	127487
20340	127487
20282	127487
20263	127485
20316	127484
20315	127484
20217	127488
20253	127481
20165	127485
20149	127488
20280	127487
20360	127487
20303	127483
20329	127484
20350	127489
20288	127482
20296	127485
20284	127480
20206	127484
20207	127482
20229	127487
20146	127491
20255	127485
20339	127486
20407	127485
20470	127483
20424	127485
20284	127485
20321	127484
20276	127485
20280	127484
20271	127489
20340	127482
20277	127484
20340	127483
20316	127485
20281	127486
20335	127491
20301	127486
20160	127486
20297	127487
20288	127485
20300	127488
20424	127489
20400	127486
20386	127485
20389	127487
20346	127486
20261	127486
20304	127482
20339	127489
20241	127487
20308	127483
20301	127482
20212	127486
20288	127484
20354	127484
20314	127490
20414	127483
20419	127482
20418	127483
20437	127487
20352	127483
20354	127485
20352	127485
20393	127486
20359	127487
20334	127486
20261	127488
20229	127485
20242	127487
20290	127482
20244	127486
20382	127485
20333	127490
20236	127483
20284	127481
20267	127484
20243	127485
20266	127488
20294	127484
20283	127488
20309	127484
20245	127485
20204	127486
20251	127487
20264	127481
20255	127484
20299	127485
20297	127485
20248	127483
20263	127484
20286	127487
20354	127487
20274	127491
20254	127486
20210	127484
20173	127486
20211	127486
20194	127486
20251	127484
20309	127488
20314	127485
20280	127482
20311	127484
20314	127487
20441	127488
20436	127484
20386	127485
20283	127487
20246	127483
20258	127483
20265	127485
20370	127486
20275	127487
20304	127483
20340	127487
20346	127487
20413	127487
20409	127485
20404	127483
20453	127483
20477	127483
20403	127485
20307	127487
20337	127486
20305	127482
20325	127484
20346	127483
20297	127485
20263	127485
20316	127487
20390	127485
20448	127485
20443	127484
20366	127487
20366	127486
20361	127485
20414	127485
20413	127486
20440	127486
20439	127485
20401	127486
20392	127484
20367	127486
20412	127480
20453	127483
20410	127486
20419	127484
20432	127485
20398	127485
20373	127485
20455	127490
20376	127486
20369	127486
20369	127484
20349	127485
20324	127483
20376	127488
20436	127485
20362	127485
20347	127486
20343	127483
20325	127487
20327	127484
20418	127488
20359	127488
20354	127486
20433	127486
20466	127484
20427	127485
20447	127484
20417	127487
20464	127484
20453	127486
20374	127482
20381	127482
20406	127488
20302	127485
20266	127481
20263	127484
20258	127490
20337	127487
20376	127486
20331	127487
20422	127489
20413	127486
20406	127485
20412	127488
20423	127486
20354	127485
20394	127491
20366	127485
20273	127485
20351	127485
20337	127486
20301	127489
20374	127485
20337	127483
20276	127481
20322	127482
20349	127487
20256	127480
20305	127489
20293	127487
20298	127484
20362	127487
20309	127483
20248	127487
20310	127484
20279	127487
20249	127484
20336	127483
20345	127485
20327	127488
20387	127488
20385	127485
20274	127485
20338	127489
20373	127488
20273	127487
20358	127484
20328	127487
20243	127482
20331	127483
