# int	pos
19984	127486
20041	127489
20016	127482
19995	127484
20092	127488
20049	127480
20014	127480
20068	127483
19911	127487
19874	127489
19944	127486
19978	127486
19899	127484
19966	127484
19908	127483
19932	127482
19957	127482
19982	127484
19913	127484
20051	127482
20029	127482
19952	127484
20014	127485
20045	127483
20032	127485
20039	127482
20079	127483
20059	127482
20092	127484
20005	127481
19867	127484
19965	127486
19964	127485
19932	127483
20058	127490
20031	127484
19977	127482
20035	127485
20101	127486
20051	127482
20125	127486
20061	127483
20026	127482
20019	127484
19955	127483
19948	127485
20067	127484
20076	127484
20043	127483
20075	127485
20054	127486
20019	127483
20129	127486
20180	127484
20066	127486
20086	127489
20002	127483
20029	127480
20088	127481
19987	127483
19977	127484
20087	127488
20084	127491
20058	127484
20014	127485
20067	127485
20082	127481
20097	127480
20139	127483
20004	127483
19983	127485
20008	127482
20044	127484
20047	127487
19987	127482
19991	127488
20061	127486
20093	127487
20028	127485
20115	127483
20121	127485
20085	127485
20129	127479
20093	127483
20075	127481
19992	127481
19936	127485
19937	127481
19977	127483
20066	127482
20093	127484
20132	127487
20069	127482
20057	127481
20065	127485
20093	127487
20004	127488
20062	127482
20124	127487
20168	127485
20208	127484
20097	127484
20074	127487
20068	127486
20106	127480
20094	127480
20188	127483
20156	127482
20084	127483
20050	127487
20051	127481
20067	127488
20096	127487
20099	127485
20004	127478
20037	127484
20035	127485
20053	127485
20125	127482
20072	127488
20062	127483
20069	127483
20133	127486
20093	127484
20142	127483
20153	127482
20085	127485
20060	127483
20019	127481
19958	127479
19968	127484
20002	127485
20015	127486
20041	127486
19996	127482
19937	127482
20060	127485
20106	127486
20124	127487
20071	127485
20049	127491
20032	127483
19995	127484
20065	127487
19974	127484
19973	127482
20092	127485
20060	127482
20051	127483
20019	127481
19970	127481
19966	127487
19969	127483
20035	127481
20013	127481
20041	127484
20078	127483
19994	127485
20064	127488
20091	127488
20014	127486
20053	127484
20083	127483
20056	127482
20144	127483
20167	127487
20135	127481
20172	127480
20141	127482
20099	127489
20248	127484
20200	127484
20097	127487
20083	127484
20139	127485
20075	127484
20072	127485
20016	127484
19936	127486
20059	127484
20011	127482
19960	127484
20095	127484
20097	127487
20094	127482
20096	127490
20107	127483
20081	127480
20091	127485
20096	127482
20048	127482
20162	127485
20135	127484
20118	127481
20100	127489
20140	127485
20091	127489
20117	127486
20103	127485
20019	127487
20092	127485
20174	127480
20129	127484
20210	127487
20285	127486
20214	127488
20232	127481
20230	127484
20133	127484
20146	127483
20169	127484
20176	127483
20142	127485
20204	127483
20176	127481
20097	127482
20082	127482
19973	127484
20031	127482
20062	127484
19995	127486
20117	127482
20128	127484
20058	127483
20096	127483
20102	127480
20062	127483
20187	127484
20240	127483
20187	127485
20228	127486
20234	127487
20166	127483
20179	127484
20190	127481
20050	127483
20106	127485
20140	127484
20122	127482
20206	127485
20185	127484
20174	127485
20158	127484
20135	127483
20090	127482
20149	127484
20089	127486
20083	127485
20108	127485
20106	127484
20009	127484
20109	127487
20172	127484
20090	127485
20229	127484
20158	127483
20075	127488
20135	127485
20121	127482
20049	127482
20071	127480
20043	127485
20008	127482
20101	127483
20153	127487
20096	127486
20082	127486
20059	127484
20034	127489
20162	127482
20179	127488
20043	127484
20100	127487
20153	127483
20131	127483
20161	127485
20101	127487
20021	127483
20070	127488
20097	127483
20045	127486
20140	127482
20180	127485
20048	127486
20089	127487
20112	127484
20087	127482
20185	127484
20201	127486
20147	127486
20175	127484
20174	127485
20098	127482
20156	127488
20192	127485
20188	127484
20209	127483
20175	127485
20078	127485
20127	127482
20186	127486
20133	127485
20208	127483
20213	127482
20077	127486
20081	127482
20126	127482
20086	127486
20161	127488
20153	127484
