# int	pos
20065	127505
20110	127506
20074	127508
20207	127504
20142	127502
20078	127502
20153	127501
20106	127501
20089	127505
20200	127503
20196	127500
20069	127499
20093	127505
20163	127499
20130	127502
20204	127506
20210	127506
20142	127508
20219	127505
20235	127506
20124	127502
20153	127501
20180	127504
20163	127504
20207	127504
20153	127505
20063	127500
20153	127501
20200	127503
20042	127498
19999	127503
20056	127503
20053	127506
20136	127503
20136	127506
20106	127505
20197	127505
20282	127503
20135	127505
20148	127502
20159	127502
20099	127503
20235	127503
20288	127505
20183	127505
20285	127505
20268	127503
20178	127508
20288	127506
20236	127502
20145	127504
20231	127505
20217	127503
20211	127507
20251	127509
20227	127508
20218	127506
20229	127502
20207	127505
20117	127504
20139	127500
20144	127503
20141	127502
20197	127505
20149	127505
20158	127505
20200	127504
20158	127503
20096	127502
20209	127505
20155	127504
20218	127506
20304	127500
20300	127505
20194	127505
20292	127507
20266	127501
20217	127500
20295	127499
20206	127499
20120	127502
20217	127503
20225	127506
20119	127502
20258	127509
20275	127503
20203	127503
20312	127502
20181	127504
20253	127506
20286	127507
20213	127508
20183	127504
20259	127507
20248	127503
20186	127507
20217	127503
20225	127504
20272	127504
20355	127504
20266	127502
20241	127503
20267	127502
20238	127505
20160	127506
20187	127506
20186	127507
20186	127506
20187	127504
20199	127503
20191	127504
20240	127510
20242	127505
20211	127505
20231	127504
20154	127506
20151	127505
20263	127505
20212	127504
20209	127505
20269	127502
20130	127499
20146	127503
20257	127503
20274	127499
20270	127504
20264	127503
20222	127500
20223	127504
20277	127500
20307	127504
20313	127500
20334	127501
20251	127502
20218	127504
20221	127498
20188	127504
20250	127506
20235	127502
20263	127506
20201	127506
20284	127503
20248	127506
20203	127504
20225	127505
20239	127506
20242	127505
20268	127501
20218	127498
20173	127502
20174	127505
20140	127499
20097	127501
20138	127503
20201	127505
20216	127506
20203	127504
20237	127504
20207	127505
20190	127500
20170	127506
20253	127503
20265	127502
20246	127502
20251	127508
20219	127505
20200	127503
20196	127504
20159	127503
20200	127503
20198	127501
20176	127508
20175	127500
20186	127500
20228	127504
20231	127505
20232	127503
20174	127503
20167	127498
20178	127509
20214	127502
20215	127499
20118	127507
20145	127506
20134	127502
20159	127501
20104	127505
20164	127502
20213	127506
20194	127501
20215	127505
20238	127507
20194	127505
20181	127501
20182	127505
20162	127505
20169	127504
20161	127503
20180	127504
20207	127500
20196	127497
20196	127499
20191	127504
20177	127502
20151	127504
20173	127504
20194	127503
20116	127505
20090	127503
20102	127503
20082	127503
20201	127506
20218	127503
20218	127505
20183	127507
20095	127509
20162	127503
20199	127503
20162	127502
20106	127503
20140	127506
20151	127504
20137	127505
20168	127506
20193	127506
20143	127505
20146	127504
20151	127507
20159	127505
20175	127503
20202	127502
20140	127505
20178	127503
20193	127500
20099	127504
20086	127503
20123	127506
20150	127500
20162	127503
20262	127504
20209	127507
20227	127504
20171	127507
20108	127506
20180	127502
20159	127506
20131	127500
20183	127506
20206	127508
20187	127501
20221	127509
20200	127504
20134	127503
20230	127504
20148	127501
20102	127502
20161	127504
20188	127501
20149	127507
20118	127504
20113	127505
20109	127505
20159	127504
20214	127505
20123	127501
20162	127504
20199	127504
20157	127505
20208	127503
20196	127504
20132	127501
20215	127506
20242	127503
20199	127501
20274	127504
20205	127500
20153	127503
20220	127504
20264	127505
20205	127505
20256	127503
20278	127504
20129	127506
20197	127505
20230	127501
20151	127503
20266	127501
20263	127508
20168	127502
20233	127506
20188	127507
20195	127509
20247	127503
20248	127505
20167	127507
20259	127504
20247	127504
20201	127505
20247	127503
20241	127505
20106	127507
20146	127501
20139	127505
20099	127505
20226	127505
20297	127503
20249	127503
20401	127507
20419	127504
20343	127508
20371	127504
20309	127501
20134	127501
20182	127502
20129	127503
20140	127502
20236	127503
20218	127504
20152	127506
20192	127501
20215	127507
20141	127505
20170	127508
20184	127507
20150	127509
20145	127506
20152	127504
20143	127502
20215	127505
20202	127501
20178	127500
20236	127501
20208	127501
20147	127503
20145	127509
20178	127510
20146	127510
20174	127503
20208	127506
20138	127508
20156	127503
20115	127505
20100	127503
20154	127503
20134	127503
20100	127506
20214	127505
20136	127503
20118	127507
20155	127503
20222	127502
20185	127507
20268	127501
20226	127504
20188	127504
20251	127504
20146	127504
20114	127503
20243	127504
20197	127503
20167	127504
20205	127505
20147	127501
20095	127500
20164	127505
20089	127502
20065	127503
20205	127506
20109	127501
20060	127506
20162	127501
20146	127506
20093	127503
20221	127506
20258	127503
20161	127503
20216	127501
20284	127500
20191	127504
20171	127502
20092	127500
20054	127501
20169	127502
20142	127502
20082	127499
20130	127502
20059	127502
19992	127503
20140	127508
20157	127505
20149	127503
20203	127505
20142	127500
20144	127503
20190	127507
20165	127503
20126	127503
20188	127503
20214	127502
20102	127502
20226	127503
20228	127508
20093	127502
20168	127506
20152	127503
20110	127509
20154	127508
20158	127505
20193	127505
20212	127503
20096	127502
20104	127504
20128	127502
20163	127501
20147	127504
20179	127503
20189	127504
20137	127504
20166	127506
20168	127507
20187	127502
20188	127507
20187	127508
20182	127501
20194	127505
20147	127502
20148	127508
20108	127505
20108	127503
20112	127501
20245	127507
20247	127503
20201	127502
20207	127507
20228	127503
20157	127507
20173	127501
20134	127503
20120	127504
20154	127504
20158	127508
20140	127504
20122	127502
20146	127504
20136	127502
20159	127501
20140	127504
20117	127502
20109	127508
20143	127503
20112	127505
20191	127504
20252	127505
20182	127501
20139	127501
20181	127502
20193	127498
20213	127505
20247	127504
20208	127509
20191	127503
20196	127504
20156	127504
20231	127501
20254	127504
20184	127503
20117	127502
20202	127503
20136	127502
20139	127502
20183	127506
20208	127508
20164	127502
20153	127499
20133	127506
20134	127501
20187	127503
20194	127503
20201	127504
20246	127505
20242	127503
20193	127506
20209	127505
20237	127501
20153	127505
20205	127507
20183	127506
20135	127504
20179	127509
20144	127503
20148	127504
20122	127504
20159	127509
20063	127505
20136	127504
20188	127505
20184	127505
20236	127506
20192	127503
20151	127502
20157	127503
20137	127506
20110	127508
20109	127502
20169	127499
20116	127511
20123	127506
20101	127506
20021	127501
20069	127502
20157	127506
20111	127505
20137	127508
20180	127501
20115	127507
20126	127508
20166	127501
20156	127504
20191	127502
20172	127504
20111	127507
20170	127511
20155	127507
20077	127507
20085	127505
20156	127502
20140	127503
20206	127508
20212	127503
20095	127503
20145	127506
20148	127506
20041	127506
20064	127504
20171	127504
20105	127504
20194	127504
20209	127501
20106	127504
20169	127508
20176	127506
20117	127508
20216	127505
20243	127506
20176	127507
20190	127507
20116	127506
20060	127508
20137	127506
20087	127508
19999	127508
20073	127505
20076	127503
20035	127504
20141	127505
20127	127504
20050	127501
20156	127505
20181	127505
20107	127503
20195	127503
20093	127504
20063	127506
20144	127503
20088	127504
20038	127503
20096	127507
20076	127503
20019	127502
20144	127505
20136	127503
20085	127504
20143	127504
20141	127504
20098	127507
20199	127506
20201	127501
20134	127508
20226	127503
20220	127505
20116	127503
20177	127506
20132	127505
20072	127505
20139	127505
20106	127504
20019	127507
20147	127502
20184	127506
20115	127501
20210	127501
20160	127504
20132	127504
20311	127505
20231	127508
20190	127501
20241	127503
20236	127503
20099	127502
20155	127505
20088	127504
19946	127505
20013	127505
20015	127505
20005	127506
20080	127506
20063	127501
20033	127505
20167	127504
20107	127504
20118	127505
20112	127504
20087	127503
20027	127501
20099	127504
20073	127502
20043	127503
20119	127506
20093	127502
19991	127506
20049	127504
20015	127505
19984	127507
20118	127506
20081	127506
20018	127502
20032	127504
20004	127502
20046	127503
20124	127504
20078	127502
20098	127505
20182	127501
20162	127503
20065	127505
20107	127505
20125	127504
20092	127506
20082	127504
20016	127503
19886	127509
19959	127504
20061	127505
20124	127503
20158	127500
20154	127502
20158	127505
20220	127503
20231	127503
20225	127508
20169	127502
20072	127507
20019	127501
20022	127505
20013	127505
19984	127504
20004	127501
20050	127507
19989	127508
20044	127502
20002	127508
20012	127506
19987	127509
19998	127504
19973	127506
20002	127506
19937	127505
19890	127506
19939	127505
19985	127503
19966	127501
19999	127504
20031	127508
19989	127504
20035	127506
20027	127504
20010	127504
20035	127507
19950	127506
19996	127503
20102	127505
20111	127504
20092	127506
20017	127506
20000	127509
20072	127506
20073	127502
20112	127499
20119	127505
20122	127503
20110	127511
20007	127506
19965	127503
19962	127503
20028	127505
20045	127503
20011	127502
20046	127505
20096	127506
20147	127501
20111	127507
20170	127500
20121	127505
20170	127509
20135	127502
20068	127504
20113	127505
20025	127505
20072	127507
20005	127507
20059	127507
20091	127506
20085	127503
20130	127500
20165	127504
20182	127506
20155	127505
20185	127507
20235	127510
20135	127510
20182	127509
20145	127508
20076	127503
20160	127505
20198	127507
20055	127503
20112	127509
20159	127502
20133	127507
20163	127508
20153	127501
20033	127507
20065	127503
20157	127507
20109	127510
20117	127504
20058	127504
20017	127505
20134	127505
20124	127512
20112	127509
20140	127501
20074	127505
20077	127505
20155	127503
20110	127506
20090	127504
20130	127506
20100	127506
20046	127505
20131	127507
20126	127507
20144	127507
20143	127504
20092	127503
20006	127506
20076	127503
20159	127504
20058	127504
20044	127507
20062	127504
20029	127511
20091	127504
20088	127505
20066	127507
20023	127504
20089	127508
20055	127503
20059	127506
20076	127503
19967	127504
19938	127507
20059	127505
20067	127510
20076	127507
20099	127506
20074	127501
20077	127506
20033	127502
20004	127499
20135	127503
20140	127506
20146	127503
20160	127503
20192	127506
20088	127505
20092	127507
20114	127506
19984	127507
19970	127505
19965	127506
19927	127508
19998	127507
20023	127503
19925	127508
20001	127504
20057	127506
19915	127504
20040	127506
20083	127509
20006	127504
20145	127508
20203	127508
20107	127508
20172	127506
20154	127504
20091	127508
20174	127503
20216	127503
20123	127505
20174	127509
20124	127502
19995	127502
20052	127506
20117	127503
20088	127505
20111	127512
20123	127502
20102	127506
20152	127507
20122	127511
20140	127508
20165	127508
20163	127510
20113	127502
20189	127502
20099	127502
20046	127508
20126	127506
20223	127505
20132	127504
20177	127506
20144	127508
20137	127504
20221	127506
20207	127503
20110	127505
20176	127503
20189	127505
20119	127507
20195	127505
20253	127506
20176	127508
20171	127510
20124	127509
20094	127507
20263	127505
20157	127505
20087	127506
20133	127505
20202	127505
20125	127509
20153	127506
20072	127504
20068	127505
20166	127507
20128	127506
19994	127503
20084	127507
20065	127506
20083	127507
20146	127503
20170	127508
20088	127505
20233	127509
20227	127504
20236	127504
20293	127503
20220	127507
20157	127508
20251	127508
20220	127506
20262	127508
20363	127509
20315	127510
20244	127508
20238	127500
20153	127500
20146	127506
20210	127504
20151	127505
20048	127507
20091	127504
20101	127506
20113	127506
20148	127507
20157	127508
20100	127501
20165	127506
20109	127503
20081	127505
20117	127507
20063	127509
19951	127510
20037	127508
20048	127503
20024	127505
20089	127505
20077	127503
20052	127507
20101	127502
20085	127502
20102	127508
20147	127506
20059	127505
19986	127507
20026	127503
20108	127507
20147	127511
20125	127506
20112	127506
20084	127504
20127	127504
20109	127506
20095	127510
20185	127506
20215	127503
20188	127511
20200	127507
20139	127500
20155	127507
20141	127505
20128	127504
20106	127504
20153	127509
20158	127505
20145	127506
20204	127503
20189	127501
20185	127506
20205	127508
20233	127508
20221	127511
20197	127507
20203	127504
20167	127509
20151	127506
20187	127504
20139	127506
20164	127506
20222	127509
20171	127507
20245	127507
20300	127504
20191	127506
20219	127502
20238	127505
20220	127504
20228	127505
20177	127505
20245	127503
20244	127504
20296	127503
20244	127507
20173	127509
20224	127510
20237	127510
20106	127508
20109	127506
20125	127506
20214	127509
20218	127506
20244	127512
20261	127505
20235	127497
20193	127502
20219	127509
20252	127502
20164	127506
20181	127504
20275	127508
20237	127505
20288	127507
20290	127504
20279	127506
20260	127507
20340	127504
20327	127504
20269	127504
20288	127508
20282	127505
20250	127506
20203	127505
20156	127506
20163	127503
20191	127506
20196	127506
20164	127506
20226	127508
20212	127504
20249	127504
20285	127505
20177	127509
20194	127510
20253	127508
20177	127507
20136	127511
20193	127505
20200	127508
20190	127504
20238	127505
20214	127507
20256	127506
20245	127508
20210	127508
20179	127505
20183	127506
20191	127503
20170	127503
20235	127507
20240	127505
20186	127507
20200	127507
20169	127505
20141	127508
20241	127504
20192	127504
20065	127506
20128	127507
20098	127506
19985	127506
20113	127508
20149	127505
20177	127504
20283	127504
20228	127507
20150	127508
20211	127509
20197	127504
20112	127504
20185	127502
20235	127508
20094	127504
20187	127506
20126	127507
20043	127508
20123	127509
20172	127505
20200	127508
20277	127508
20293	127507
20318	127506
20390	127507
20276	127508
20176	127506
20153	127507
20159	127504
20103	127504
20202	127505
20147	127505
20075	127510
20090	127505
20080	127508
20002	127509
20121	127508
20214	127509
20174	127503
20147	127506
20108	127506
20012	127507
20088	127506
20117	127503
20053	127506
20119	127508
20136	127508
20059	127509
20095	127506
20121	127512
20069	127507
20243	127510
20151	127507
20109	127502
20194	127505
20286	127507
20269	127510
20275	127508
20216	127506
20165	127507
20206	127509
20148	127506
20073	127506
20176	127508
20147	127510
20063	127506
20166	127507
20176	127508
20117	127504
20134	127510
20117	127508
20138	127512
20151	127504
20123	127504
20114	127510
20123	127506
20103	127508
20051	127509
20131	127507
20113	127509
20090	127512
20126	127509
20149	127512
20096	127505
20124	127506
20121	127507
20103	127509
20245	127507
20138	127509
20086	127508
20129	127508
20205	127505
20224	127509
20253	127504
20240	127512
20171	127506
20234	127505
20134	127505
20000	127507
20079	127507
20075	127510
20004	127508
20082	127510
20032	127509
20004	127503
20013	127507
20088	127508
20118	127505
20226	127511
20113	127506
20077	127505
20211	127508
20180	127507
20117	127508
20201	127506
20165	127506
20116	127506
20183	127507
20121	127509
20088	127505
20129	127506
20165	127509
20145	127511
20146	127506
20150	127509
20044	127509
20091	127507
20065	127506
20054	127502
20109	127510
20066	127513
20006	127507
20159	127507
20110	127507
19994	127505
20051	127509
20081	127511
20039	127508
20099	127510
20068	127508
20074	127510
20168	127507
20073	127509
20093	127506
20114	127511
20067	127508
20054	127509
20099	127508
20125	127504
20065	127505
20097	127506
20110	127507
20083	127508
20155	127506
20208	127505
20187	127510
20211	127510
20121	127507
20069	127506
20067	127508
20031	127509
20065	127506
20077	127507
20067	127510
20088	127509
20065	127510
20053	127507
20034	127511
20060	127509
20128	127509
20039	127509
20046	127508
20055	127510
20103	127510
20180	127507
20170	127507
20134	127506
20143	127502
20086	127506
20079	127507
20081	127508
20057	127504
20036	127507
20065	127507
20157	127510
20016	127509
20061	127504
20116	127509
20076	127504
20065	127507
20166	127510
20152	127511
20161	127507
20157	127511
20097	127509
20174	127508
20065	127509
19985	127508
19969	127509
20069	127507
20024	127508
19982	127507
20039	127508
20085	127502
20099	127507
20148	127504
20121	127511
20061	127507
20052	127506
19991	127507
20006	127505
20095	127511
20133	127508
20065	127514
20097	127507
20121	127506
20116	127506
20069	127508
20066	127507
19997	127508
20019	127513
20021	127509
19999	127507
20005	127510
20052	127508
20000	127506
20077	127506
20045	127512
20012	127508
20085	127505
20092	127508
20022	127502
20071	127501
20039	127508
19988	127506
20018	127505
20014	127506
19966	127509
19962	127508
20029	127506
20116	127506
20162	127507
20104	127509
20052	127506
20151	127509
20171	127511
20060	127508
20129	127507
