# int	pos
20220	127495
20094	127496
20267	127494
20189	127493
20124	127496
20169	127501
20230	127495
20259	127494
20233	127494
20208	127497
20182	127498
20208	127497
20237	127499
20081	127498
20192	127494
20190	127495
20106	127498
20185	127500
20117	127502
20033	127499
20234	127499
20245	127495
20159	127497
20322	127496
20358	127499
20331	127497
20427	127497
20411	127497
20281	127497
20249	127500
20214	127494
20139	127496
20230	127498
20196	127499
20249	127501
20321	127497
20292	127497
20181	127493
20240	127498
20231	127492
20100	127501
20156	127496
20168	127494
20177	127495
20235	127496
20172	127497
20122	127499
20209	127492
20240	127496
20170	127499
20254	127497
20250	127498
20208	127495
20252	127501
20210	127502
20191	127500
20306	127501
20261	127499
20203	127496
20332	127497
20289	127494
20186	127496
20281	127495
20249	127499
20228	127499
20297	127494
20342	127495
20358	127498
20361	127498
20288	127494
20215	127495
20186	127494
20091	127499
20101	127497
20211	127494
20146	127497
20097	127497
20106	127497
20130	127492
20071	127497
20154	127496
20185	127497
20166	127498
20196	127494
20250	127491
20224	127497
20259	127497
20182	127500
20082	127494
20134	127492
20144	127496
20191	127494
20248	127494
20223	127498
20144	127501
20178	127496
20095	127496
20149	127497
20281	127499
20318	127496
20262	127499
20365	127498
20342	127502
20268	127500
20190	127497
20128	127498
20115	127499
20157	127495
20185	127495
20115	127493
20118	127497
20115	127497
20089	127494
20078	127495
20147	127494
20128	127497
20172	127498
20202	127499
20178	127494
20161	127497
20122	127495
20106	127495
20183	127496
20198	127495
20207	127494
20218	127498
20227	127499
20210	127501
20179	127497
20134	127497
20232	127497
20298	127496
20177	127496
20166	127495
20187	127498
20189	127500
20174	127496
20142	127501
20073	127495
20082	127493
20143	127499
20251	127501
20172	127498
20168	127503
20171	127497
20206	127500
20236	127500
20239	127495
20210	127499
20206	127496
20232	127494
20210	127498
20216	127497
20164	127497
20120	127500
20112	127495
20152	127495
20159	127495
20076	127499
20142	127498
20197	127501
20182	127502
20203	127496
20208	127497
20126	127494
20188	127496
20125	127494
20108	127494
20189	127496
20206	127494
20209	127495
20214	127496
20288	127495
20277	127493
20274	127496
20243	127496
20169	127495
20165	127495
20255	127500
20231	127497
20285	127501
20230	127497
20180	127498
20195	127495
20213	127498
20253	127498
20341	127498
20296	127494
20156	127498
20204	127498
20164	127498
20134	127495
20243	127496
20223	127493
20165	127495
20184	127496
20237	127494
20176	127495
20206	127500
20251	127491
20271	127496
20376	127495
20375	127495
20329	127496
20343	127496
20342	127493
20337	127493
20333	127498
20305	127495
20288	127500
20321	127498
20234	127499
20196	127498
20289	127497
20294	127498
20215	127495
20335	127497
20362	127501
20332	127501
20341	127494
20310	127500
20249	127498
20274	127501
20250	127497
20197	127502
20251	127495
20277	127499
20118	127494
20193	127498
20245	127500
20234	127501
20276	127497
20302	127496
20244	127500
20260	127496
20287	127496
20175	127498
20285	127497
20282	127498
20169	127493
20277	127492
20287	127499
20188	127497
20274	127496
20334	127498
20257	127498
20349	127498
20315	127498
20284	127501
20352	127501
20281	127497
20179	127497
20239	127499
20274	127495
20174	127497
20290	127496
20260	127495
20320	127497
20296	127495
20274	127494
20207	127496
20254	127494
20306	127497
20247	127498
20240	127500
20233	127495
20244	127497
20331	127498
20284	127497
20218	127499
20275	127495
20278	127497
20219	127495
20349	127498
20336	127499
20233	127497
20328	127500
20330	127501
20297	127502
20320	127497
20190	127500
20164	127496
20288	127495
20182	127499
20213	127498
20269	127498
20269	127495
20292	127497
20286	127497
20283	127498
20233	127497
20311	127501
20251	127500
20217	127501
20251	127497
20364	127496
20290	127498
20287	127504
20217	127500
20216	127498
20305	127496
20304	127497
20245	127501
20265	127495
20236	127497
20266	127501
20338	127498
20331	127495
20240	127495
20291	127500
20304	127501
20296	127503
20330	127497
20372	127497
20369	127495
20394	127495
20410	127495
20291	127495
20340	127497
20237	127493
20248	127497
20342	127498
20363	127495
20297	127495
20361	127495
20319	127491
20204	127501
20290	127499
20266	127496
20239	127497
20275	127496
20332	127498
20287	127496
20270	127498
20289	127498
20244	127496
20354	127497
20292	127500
20188	127500
20234	127495
20263	127493
20279	127497
20299	127499
20339	127500
20269	127497
20288	127496
20258	127498
20288	127497
20379	127496
20288	127498
20226	127499
20310	127498
20285	127502
20269	127497
20305	127503
20281	127503
20252	127492
20277	127499
20275	127498
20244	127499
20287	127501
20283	127497
20274	127500
20308	127503
20299	127496
20237	127494
20220	127502
20270	127500
20229	127500
20225	127501
20247	127497
20245	127500
20393	127500
20399	127498
20411	127498
20518	127495
20419	127499
20409	127497
20413	127495
20364	127498
20310	127496
20390	127494
20386	127497
20304	127497
20326	127500
20373	127496
20360	127497
20293	127500
20247	127501
20232	127495
20254	127499
20266	127497
20324	127500
20332	127498
20343	127496
20266	127500
20218	127498
20237	127495
20287	127498
20328	127495
20289	127497
20186	127500
20205	127500
20151	127496
20258	127499
20283	127493
20338	127496
20339	127498
20342	127497
20359	127497
20378	127502
20342	127500
20340	127500
20293	127500
20256	127499
20265	127500
20295	127490
20282	127499
20230	127495
20289	127496
20285	127499
20337	127498
20397	127499
20272	127495
20255	127500
20286	127500
20246	127495
20357	127494
20320	127497
20308	127495
20245	127498
20235	127496
20193	127496
20224	127503
20265	127500
20201	127500
20249	127498
20279	127497
20311	127498
20293	127501
20240	127496
20166	127495
20128	127495
20160	127499
20177	127496
20208	127494
20273	127500
20241	127500
20293	127498
20275	127496
20206	127497
20208	127493
20232	127495
20223	127497
20187	127495
20235	127499
20174	127497
20184	127498
20200	127498
20103	127497
20165	127500
20189	127494
20174	127499
20298	127492
20258	127501
20210	127492
20238	127498
20200	127499
20173	127502
20233	127498
20234	127499
20193	127500
20200	127500
20184	127496
20128	127496
20169	127496
20212	127494
20200	127495
20235	127494
20245	127494
20200	127497
20247	127495
20181	127500
20079	127499
20222	127501
20272	127498
20244	127496
20302	127497
20218	127498
20217	127497
20320	127503
20218	127494
20230	127500
20262	127498
20310	127498
20263	127498
20352	127498
20324	127499
20262	127502
20243	127498
20289	127502
20195	127498
20235	127497
20228	127499
20121	127501
20235	127500
20293	127497
20238	127499
20327	127497
20265	127495
20143	127498
20227	127494
20202	127496
20201	127496
20309	127497
20275	127497
20190	127496
20253	127500
20326	127500
20268	127500
20345	127500
20240	127495
20172	127495
20251	127498
20263	127494
20161	127501
20331	127496
20322	127499
20196	127495
20325	127494
20260	127498
20205	127498
20212	127497
20190	127497
20073	127494
20174	127499
20195	127497
20212	127502
20302	127502
20265	127499
20311	127502
20427	127499
20402	127499
20333	127495
20381	127498
20306	127501
20202	127499
20256	127499
20235	127498
20201	127497
20330	127499
20276	127498
20167	127500
20237	127498
20203	127499
20134	127497
20243	127497
20158	127497
20160	127497
20231	127497
20198	127494
20162	127500
20215	127500
20232	127503
20196	127496
20191	127502
20214	127500
20178	127495
20301	127498
20235	127503
20121	127497
20223	127497
20176	127495
20136	127499
20209	127498
20169	127496
20053	127497
20164	127498
20178	127497
20153	127497
20191	127497
20208	127490
20109	127495
20181	127499
20148	127499
20130	127498
20143	127499
20182	127502
20148	127500
20332	127497
20326	127496
20286	127500
20413	127496
20396	127500
20301	127499
20275	127500
20203	127499
20095	127506
20117	127497
20141	127498
20158	127501
20228	127499
20220	127503
20099	127501
20121	127498
20170	127499
20190	127497
20220	127496
20216	127500
